matchNumber,matchLevel,blue_totalPoints,blue_foulPoints,blue_adjustPoints,blue_totalAutoPoints,blue_totalTeleopPoints,blue_endGameTowerPoints,blue_totalTowerPoints,blue_autoTowerPoints,blue_autoTowerRobot1,blue_autoTowerRobot2,blue_autoTowerRobot3,blue_endGameTowerRobot1,blue_endGameTowerRobot2,blue_endGameTowerRobot3,blue_energizedAchieved,blue_superchargedAchieved,blue_traversalAchieved,blue_minorFoulCount,blue_majorFoulCount,blue_g206Penalty,blue_rp,blue_penalties,blue_hub_autoCount,blue_hub_transitionCount,blue_hub_shift1Count,blue_hub_shift2Count,blue_hub_shift3Count,blue_hub_shift4Count,blue_hub_endgameCount,blue_hub_teleopCount,blue_hub_totalCount,blue_hub_uncounted,blue_hub_autoPoints,blue_hub_transitionPoints,blue_hub_shift1Points,blue_hub_shift2Points,blue_hub_shift3Points,blue_hub_shift4Points,blue_hub_endgamePoints,blue_hub_teleopPoints,blue_hub_totalPoints,red_totalPoints,red_foulPoints,red_adjustPoints,red_totalAutoPoints,red_totalTeleopPoints,red_endGameTowerPoints,red_totalTowerPoints,red_autoTowerPoints,red_autoTowerRobot1,red_autoTowerRobot2,red_autoTowerRobot3,red_endGameTowerRobot1,red_endGameTowerRobot2,red_endGameTowerRobot3,red_energizedAchieved,red_superchargedAchieved,red_traversalAchieved,red_minorFoulCount,red_majorFoulCount,red_g206Penalty,red_rp,red_penalties,red_hub_autoCount,red_hub_transitionCount,red_hub_shift1Count,red_hub_shift2Count,red_hub_shift3Count,red_hub_shift4Count,red_hub_endgameCount,red_hub_teleopCount,red_hub_totalCount,red_hub_uncounted,red_hub_autoPoints,red_hub_transitionPoints,red_hub_shift1Points,red_hub_shift2Points,red_hub_shift3Points,red_hub_shift4Points,red_hub_endgamePoints,red_hub_teleopPoints,red_hub_totalPoints
1,Qualification,642,0,0,134,508,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,5,None,134,22,0,201,0,130,155,508,642,11,134,22,0,201,0,130,155,508,642,263,0,0,96,167,0,0,0,None,None,None,None,None,None,False,False,False,0,0,False,0,None,96,0,73,0,43,0,51,167,263,5,96,0,73,0,43,0,51,167,263
2,Qualification,422,0,0,58,364,0,0,0,None,None,None,None,None,None,True,False,False,1,0,False,4,None,58,39,135,0,109,0,81,364,422,0,58,39,135,0,109,0,81,364,422,367,5,0,80,282,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,1,None,80,12,0,97,0,95,78,282,362,8,80,12,0,97,0,95,78,282,362
3,Qualification,227,45,0,8,174,0,0,0,None,None,None,None,None,None,False,False,False,0,0,False,3,None,8,7,60,0,49,0,58,174,182,2,8,7,60,0,49,0,58,174,182,220,0,0,68,152,0,0,0,None,None,None,None,None,None,False,False,False,0,3,False,0,None,68,19,0,67,0,66,0,152,220,2,68,19,0,67,0,66,0,152,220
4,Qualification,371,5,0,66,300,0,0,0,None,None,None,None,None,None,True,False,False,0,1,False,1,None,66,8,77,0,136,0,79,300,366,0,66,8,77,0,136,0,79,300,366,445,15,0,90,340,0,0,0,None,None,None,None,None,None,True,False,False,1,0,False,4,None,90,21,0,104,0,107,108,340,430,0,90,21,0,104,0,107,108,340,430
5,Qualification,519,15,0,81,423,0,0,0,None,None,None,None,None,None,True,True,False,2,2,False,5,None,81,49,0,135,0,99,140,423,504,12,81,49,0,135,0,99,140,423,504,242,40,0,43,159,0,0,0,None,None,None,None,None,None,False,False,False,0,1,False,0,None,43,1,61,0,49,0,48,159,202,0,43,1,61,0,49,0,48,159,202
6,Qualification,443,5,0,97,341,0,0,0,None,None,None,None,None,None,True,False,False,1,1,False,1,None,97,33,0,100,0,134,74,341,438,5,97,33,0,100,0,134,74,341,438,447,20,0,59,368,0,0,0,None,None,None,None,None,None,True,False,False,1,0,False,4,None,59,18,41,0,154,0,155,368,427,2,59,18,41,0,154,0,155,368,427
7,Qualification,567,15,0,91,461,10,10,0,None,None,None,None,None,Level1,True,True,False,1,2,False,5,None,91,30,0,193,0,127,101,451,542,0,91,30,0,193,0,127,101,451,542,433,35,0,60,338,0,0,0,None,None,None,None,None,None,True,False,False,0,1,False,1,None,60,2,98,0,71,0,167,338,398,8,60,2,98,0,71,0,167,338,398
8,Qualification,824,5,0,147,672,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,5,None,147,73,0,216,0,152,231,672,819,2,147,73,0,216,0,152,231,672,819,319,0,0,86,233,0,0,0,None,None,None,None,None,None,False,False,False,1,0,False,0,None,86,12,93,0,30,0,98,233,319,8,86,12,93,0,30,0,98,233,319
9,Qualification,491,15,0,70,406,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,70,60,0,167,0,97,82,406,476,10,70,60,0,167,0,97,82,406,476,347,0,0,60,287,0,0,0,None,None,None,None,None,None,False,False,False,0,1,False,0,None,60,2,67,0,66,0,152,287,347,0,60,2,67,0,66,0,152,287,347
10,Qualification,241,0,0,80,161,0,0,0,None,None,None,None,None,None,False,False,False,1,0,False,0,None,80,0,0,63,0,41,57,161,241,0,80,0,0,63,0,41,57,161,241,374,5,0,61,308,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,61,1,139,0,73,0,95,308,369,1,61,1,139,0,73,0,95,308,369
